title,description,date
NBC HIRES JOSHUA PERRY,Former Ohio State linebacker Joshua Perry is joining NBC as an analyst as the network prepares for its first season of televising Big Ten football this fall.,"18 May 2023
by Dan Hope
47 COMMENTS"
"BROWN CROSS-TRAINING AT CORNER, NICKEL",Jyaire Brown split his time lining up outside and inside this spring as he looks to increase his value and earn a role in Ohio State’s secondary as a sophomore.,"18 May 2023
by Dan Hope
20 COMMENTS"
JOSHUA PADILLA,Joshua Padilla never played center in high school but will transition to the new position as a Buckeye to be an anchor in the middle of the offensive line down the road.,"18 May 2023
by Josh Poloha
6 COMMENTS"
MARV’S SHADOW WON'T SLOW EGBUKA,"MarvMania continues to build over the offseason, but while Emeka Egbuka seems to be flying under the radar, he still might be the second-best WR in college football.","18 May 2023
by Griffin Strom
27 COMMENTS"
THE CHOIR INVISIBLE,"“The best offense is a good defense” might be the most profound sentiment in the history of college football. But right now, it’s simply not true.","17 May 2023
by Ramzy Nasrallah
52 COMMENTS"
RANKING OSU'S NEW TRANSFERS BY IMPACT,Griffin and Chase take inventory of Ohio State's eight-man transfer class and rank each new Buckeye by their potential impact on the field in 2023.,"17 May 2023
by Griffin Strom and Chase Brown
4 COMMENTS"
ANTWUAN JACKSON SIGNS WITH PANTHERS,Former Ohio State defensive tackle Antwuan Jackson has signed a contract with the Panthers after impressing Carolina's coaches at the team's rookie minicamp.,"16 May 2023
by Chase Brown
11 COMMENTS"
DEFENSIVE TACKLE DEPTH TAKES SHAPE,"Ohio State's DT rotation seemed top-heavy entering the offseason, but the addition of Tywone Malone and spring game performance of Hero Kanu should mitigate any concerns.","16 May 2023
by Griffin Strom
36 COMMENTS"
TARON VINCENT SIGNS WITH RAMS,Former Ohio State defensive tackle Taron Vincent has reportedly signed a contract with the Los Angeles Rams.,"15 May 2023
by Chase Brown
7 COMMENTS"
NOON KICK ON FOX FOR THE GAME,Ohio State and Michigan will collide at noon on FOX in Ann Arbor on Nov. 25 in the 2023 edition of The Game.,"15 May 2023
by Griffin Strom
77 COMMENTS"
OSU-MSU TO KICK AT 7:30 ON NBC,The Buckeyes will host Sparty under the lights at the Horseshoe on Nov. 11 in a matchup that will be televised on NBC.,"15 May 2023
by Griffin Strom
73 COMMENTS"
TIME FOR INJURY LUCK TO CHANGE,The 2022 Buckeyes were snake bit by injuries to their top two tailbacks worse than any OSU squad since Ryan Day joined the staff.,"14 May 2023
by Chris Lauderback
23 COMMENTS"
BUCKEYES ADD MORE WITHOUT LOSING MUCH,"Ohio State brought in far more transfers than ever before while losing only nine outgoing transfers, tied for the second-fewest among Power 5 schools.","13 May 2023
by Dan Hope
28 COMMENTS"
THE OFFSEASON GAME IS AFOOT!,The best part of the depths of the offseason is the opportunity to let your deepest anxieties about the upcoming football season run wild.,"12 May 2023
by Johnny Ginter
41 COMMENTS"
HENRY’S CANCER IN REMISSION,"Ohio State offensive lineman Avery Henry, who was diagnosed with osteosarcoma in December, announced Thursday that his cancer is in remission.","11 May 2023
by Dan Hope
76 COMMENTS"
PANTHERS RE-SIGN MICHAEL JORDAN,Former Ohio State guard Michael Jordan re-signed with the Carolina Panthers on Thursday.,"11 May 2023
by Dan Hope
6 COMMENTS"
STROUD AND SMITH-NJIGBA STILL 7/11,"C.J. Stroud will wear No. 7 for the Houston Texans and Jaxon Smith-Njigba will wear No. 11 for the Seattle Seahawks, but Paris Johnson Jr. and Zach Harrison have new numbers.","11 May 2023
by Dan Hope
11 COMMENTS"
ARVELL REESE,"Arvell Reese is still new to the linebacker position, but his size, speed and instincts give him high upside as a playmaker with the potential to also play on the edge.","11 May 2023
by Josh Poloha
8 COMMENTS"
"OHIO STATE ADDS TO 2024, 2029 SCHEDULES","Ohio State football announced Marshall as a new opponent in 2024 and added Nevada and Charlotte as opponents in 2029, with all three matchups to be played at Ohio Stadium.","10 May 2023
by Chase Brown
104 COMMENTS"
UPDATED DEPTH CHART PROJECTION,Our updated depth chart projection looks at where the Buckeyes’ post-spring transfers could fit in and how Ohio State could fill the spots vacated by outgoing transfers.,"10 May 2023
by Dan Hope
161 COMMENTS"
BUCKEYES ADD DT DEPTH WITH TYWONE MALONE,"Ohio State adds its second Ole Miss transfer of the offseason as former Rebels defensive tackle Tywone Malone commits to the Buckeyes, bolstering their DT depth.","09 May 2023
by Dan Hope
107 COMMENTS"
SEIBERT TRANSFERRING TO NIU,Former Ohio State kicker Jake Seibert is transferring to Northern Illinois after three seasons with the Buckeyes.,"09 May 2023
by Dan Hope
21 COMMENTS"
