title,description,date
"CHAMBERS, EICHENBERG “SOLIDIFYING” JOBS",New Ohio State defensive coordinator Jim Knowles gave further indication Tuesday that Tommy Eichenberg and Steele Chambers will be the Buckeyes’ starting linebackers.,"09 Aug 2022
by Dan Hope
59 COMMENTS"
KNOWLES HAS “LONG-TERM” CONCERNS AT CB,"Five practices into preseason camp, Ohio State's cornerback room is facing injury issues and depth concerns.","09 Aug 2022
by Griffin Strom
133 COMMENTS"
"KNOWLES, LBS DISCUSS HIGH EXPECTATIONS",Jim Knowles said he wants a top-five defense and Teradja Mitchell said the Buckeyes should aim to be No. 1 as Ohio State’s linebackers met the media on Tuesday.,"09 Aug 2022
by Garrick Hodge
27 COMMENTS"
TRAYANUM LOSES BLACK STRIPE,Ohio State linebacker Chip Trayanum is the latest Buckeye to lose his black stripe.,"09 Aug 2022
by Griffin Strom
34 COMMENTS"
WILLIAMS EMBRACING POWER BACK ROLE,Miyan Williams transformed his body over the offseason and has committed himself to become more of a vocal leader ahead of his third season in scarlet and gray.,"09 Aug 2022
by Griffin Strom
34 COMMENTS"
DESTINY UNBOUND,"After setting a host of single-season receiving records in 2021, Jaxon Smith-Njigba has a shot to break at least six Ohio State career receiving marks this fall.","09 Aug 2022
by Chris Lauderback
39 COMMENTS"
FRYAR READY TO PLAY AFTER ACL RECOVERY,"After tearing his ACL during warmups for last November’s loss at Michigan, Josh Fryar is back on the field and pushing for playing time on Ohio State’s offensive line.","08 Aug 2022
by Dan Hope
16 COMMENTS"
LAURINAITIS THANKFUL FOR OPPORTUNITY AT ND,Former Ohio State linebacker James Laurinaitis feels grateful for his first coaching opportunity at Notre Dame but knows his team's first test won't be easy.,"08 Aug 2022
by Chase Brown
60 COMMENTS"
OL DISCUSS START OF PRESEASON CAMP,Justin Frye and eight Ohio State offensive linemen met with reporters after Monday’s practice.,"08 Aug 2022
by Garrick Hodge
25 COMMENTS"
BUCKEYES 2ND IN COACHES POLL,"Ohio State is ranked second in the preseason Coaches Poll behind only Alabama. Notre Dame clocks in at fifth, and Michigan shows up in the sixth spot.","08 Aug 2022
by Dan Hope
92 COMMENTS"
FLEMING HAVING HIS “BEST OFFSEASON”,"One of seven Ohio State players to earn Iron Buckeye honors this offseason, Julian Fleming has impressed Ryan Day, C.J. Stroud and Brian Hartline with his growth.","08 Aug 2022
by Dan Hope
50 COMMENTS"
PHOTOS FROM HOTEL CHECK-IN,We've got a photo gallery of various Ohio State players that checked in to the team hotel Sunday as part of preseason camp.,"07 Aug 2022
by Garrick Hodge
19 COMMENTS"
HIGHLIGHTS FROM HOTEL CHECK-IN,"Paris Johnson Jr. pays tribute to Dwayne Haskins, Jaxon Smith-Njigba wears his brother’s MLB jersey and more highlights from Ohio State’s hotel check-in for camp.","07 Aug 2022
by Dan Hope
12 COMMENTS"
MARTINEZ “IN THE BEST SHAPE OF MY LIFE”,Cameron Martinez feels ready to play any role in Ohio State’s secondary and/or return punts as he looks to show the world what he can do in his third year as a Buckeye.,"07 Aug 2022
by Dan Hope
19 COMMENTS"
HAYDEN IMPRESSING WITH FULL SPEED APPROACH,"Tony Alford likes what he’s seen from Dallan Hayden so far, though Alford has told the freshman running back to “take a deep breath” as he acclimates to life as a Buckeye.","06 Aug 2022
by Dan Hope
18 COMMENTS"
"“I’M A WEAPON TO USE""",Evan Pryor is ready to hit the ground running in year two as the redshirt freshman believes he's proven himself worthy of a role in the Ohio State offense in 2022.,"05 Aug 2022
by Griffin Strom
53 COMMENTS"
PHOTOS FROM OHIO STATE'S SECOND PRACTICE,"One day after beginning preseason training camp, Ohio State was back at the Woody Hayes Athletic Center Friday for its second practice.","05 Aug 2022
by Garrick Hodge
15 COMMENTS"
RUNNING BACKS DISCUSS START OF CAMP,"TreVeyon Henderson, Miyan Williams, Dallan Hayden, Evan Pryor and Tony Alford all met with reporters Friday after Ohio State's second preseason practice.","05 Aug 2022
by Garrick Hodge
18 COMMENTS"
VIDEO FROM PRACTICE #2,"Watch some footage of Ohio State wide receivers, tight ends, offensive linemen and more going through drill work at the Buckeyes’ second practice of preseason camp.","05 Aug 2022
by Dan Hope and Griffin Strom
17 COMMENTS"
"“THE FIRST STEP IN A LONG, LONG JOURNEY”","Ohio State's first preseason practices are “the first step in a long, long journey” as Ryan Day and the Buckeyes lay the groundwork for the goals they hope to achieve this...","05 Aug 2022
by Griffin Strom
23 COMMENTS"
PHOTOS FROM OHIO STATE'S FIRST PRACTICE,Photos of Ohio State's offensive and defensive linemen along with various summer enrollees.,"04 Aug 2022
by Garrick Hodge
27 COMMENTS"
DAY HAS “BETTER FEEL” FOR THIS YEAR’S TEAM,Ryan Day is more confident about his team at the start of preseason camp than he was a year ago because the Buckeyes have more returning players with experience.,"04 Aug 2022
by Dan Hope
33 COMMENTS"
“EVERYONE WAS JACKED UP TODAY”,Preseason camp is officially underway at the Woody Hayes Athletic Center and Ryan Day spoke about what he saw from the Buckeyes after their first practice session.,"04 Aug 2022
by Griffin Strom
46 COMMENTS"
OBSERVATIONS FROM PRACTICE #1,"Ohio State’s offensive line looked as expected on day one of preseason camp, but Jake Seibert made an unconventional position change from kicker to cornerback.","04 Aug 2022
by Dan Hope and Griffin Strom
92 COMMENTS"
DAYS DONATE $1M TO START RESILIENCE FUND,"Ryan Day and his wife donated $1 million to launch the Nina and Ryan Day Resilience Fund, which will help fund Ohio State’s research for maintaining mental wellness.","03 Aug 2022
by Dan Hope
39 COMMENTS"
PERFECTION'S DIRECTION,"Lies, Heart, Truth and Garbage billow out of college football practice facilities for seven solid months. They all look the same!","03 Aug 2022
by Ramzy Nasrallah
41 COMMENTS"
STEELERS SIGN MASTER TEAGUE,Master Teague III gets another shot to make an NFL roster as the former Ohio State running back signs with the Pittsburgh Steelers.,"03 Aug 2022
by Dan Hope
36 COMMENTS"
“I'VE ALWAYS DREAMED OF GAMES LIKE THIS”,Neither Ryan Day nor the Buckeye players are treating their primetime matchup with potential top-10 opponent Notre Dame as if it's “just another game” ahead of the season.,"03 Aug 2022
by Griffin Strom
56 COMMENTS"
WHAT IT WILL TAKE TO HAVE A TOP-10 DEFENSE,"Improving against the pass and in the red zone, in particular, would go a long way toward Ohio State's defense realizing Ryan Day's expectations.","02 Aug 2022
by Chris Lauderback
51 COMMENTS"
DAY CONCERNED BUT HOPEFUL ABOUT OL DEPTH,"Ryan Day is “feeling better” about Ohio State’s offensive line depth with the strides he’s seen from several players this offseason, but he still needs to see more in...","02 Aug 2022
by Dan Hope
65 COMMENTS"
BUCKEYES ENCOURAGED BY SUMMER WORKOUTS,"Ohio State’s veteran players say the Buckeyes have stepped up their game in offseason workouts, and Ryan Day says he sees “a different look in their eye.”","01 Aug 2022
by Dan Hope
53 COMMENTS"
B1G COACHES EXCITED ABOUT EXPANSION,Reactions from the Big Ten head coaches about the conference's expansion efforts were overwhelmingly positive during Big Ten Media Days this week.,"30 Jul 2022
by Griffin Strom
13 COMMENTS"
OHIO STATE’S BIGGEST SEASON OPENERS,Ohio State vs. Notre Dame will be the 10th time the Buckeyes have opened the season with a battle of two ranked teams. We take a look back at the previous nine.,"30 Jul 2022
by Matt Gutridge
25 COMMENTS"
HICKMAN THANKFUL TO BE DEFENSIVE LEADER,Ronnie Hickman has worked through injuries and coaching changes to become a key leader of Ohio State’s defense at safety.,"29 Jul 2022
by Dan Hope
26 COMMENTS"
C.J. STROUD'S SECOND ACT,Ohio State quarterback C.J. Stroud is about to try and follow up one of the greatest opening acts in Ohio State quarterbacking history with something even bigger.,"29 Jul 2022
by Johnny Ginter
48 COMMENTS"
A LONG-AWAITED RETURN,Only a handful of Michigan's projected 2022 starters were even on the Wolverine roster when the maize and blue last played at Ohio Stadium in 2018.,"29 Jul 2022
by Griffin Strom
140 COMMENTS"
WILLIAM WHITE DIES AT 56,"Former Ohio State cornerback William White, a four-year starter for the Buckeyes who was diagnosed with ALS in 2016, died Thursday at the age of 56.","28 Jul 2022
by Dan Hope
43 COMMENTS"
45 PLAYERS MAKE PICKS FOR NEXT B1G TEAM,"We asked 45 players at Big Ten Media Days which team they think they should join the league next. Notre Dame, Oregon and Alabama were among the top choices.","28 Jul 2022
by Garrick Hodge
34 COMMENTS"
STROUD EMBRACING THE SPOTLIGHT,C.J. Stroud has gotten used to the attention that comes with being Ohio State’s starting quarterback and wants to be an inspiration for others.,"28 Jul 2022
by Dan Hope
17 COMMENTS"
PLAYERS PREVIEW SEASON AT B1G MEDIA DAYS,"Jaxon Smith-Njigba, C.J. Stroud, Ronnie Hickman and Ryan Day talked about their national championship aspirations as they met with reporters at Big Ten Media Days.","27 Jul 2022
by Garrick Hodge
8 COMMENTS"
“WE EXPECT A TOP-10 DEFENSE”,Ryan Day made it clear at Big Ten Media Days that he’s holding Jim Knowles and the Ohio State defense to a high standard in his first year on the job.,"27 Jul 2022
by Griffin Strom
57 COMMENTS"
PARKER LEWIS NOT YET ELIGIBLE FOR BUCKEYES,Ryan Day said Wednesday at Big Ten Media Days that USC transfer kicker Parker Lewis has not yet been cleared to play for Ohio State due to an eligibility issue.,"27 Jul 2022
by Dan Hope
36 COMMENTS"
NOTES FROM RYAN DAY'S HOURLONG INTERVIEW,"Ryan Day asks for ""more structure"" with NIL and transfer policies in college football and provides Buckeye roster updates during his hourlong interview session in Indianapolis.","27 Jul 2022
by Griffin Strom
38 COMMENTS"
"DAY TALKS PROGRESS ON D, NOTRE DAME GAME",Ryan Day and six other head coaches across the conference spoke on stage at Lucas Oil Stadium in Indianapolis for Big Ten Media Days Wednesday.,"27 Jul 2022
by Griffin Strom
41 COMMENTS"
DAY’S FIRST INTERVIEW SESSION IN INDY,"Ryan Day discussed what Ohio State has accomplished this summer, the health of Lathan Ransom and Josh Fryar and more in his first Big Ten Media Days interview session.","27 Jul 2022
by Dan Hope
24 COMMENTS"
SILVER BULLETS BACK?,The Ohio State defense got Jim Tresseled throughout 2021.,"27 Jul 2022
by Ramzy Nasrallah
61 COMMENTS"
"MCNAMARA, UM STILL BASKING IN OSU WIN","Speaking with members of the media at Big Ten Media Days, Cade McNamara said he was surprised how big the gap was between Michigan and Ohio State in 2021.","26 Jul 2022
by Griffin Strom
137 COMMENTS"
WARREN WANTS B1G TO BE “VERY AGGRESSIVE”,"Kevin Warren believes USC and UCLA will bring “incredible value” to the Big Ten and that the conference could expand further, though it will be “strategic” in doing so.","26 Jul 2022
by Dan Hope
81 COMMENTS"
RETOOLED OL HOLDS THE KEY,"For Ohio State's elite weapons to shine, a retooled offensive line headlined by Paris Johnson Jr. and Dawand Jones must deliver in run blocking and pass pro.","26 Jul 2022
by Chris Lauderback
65 COMMENTS"
BIG TEN MEDIA DAYS PRIMER,"Kevin Warren and Jim Harbaugh will speak to reporters Tuesday while Ryan Day, C.J. Stroud, Jaxon Smith-Njigba and Ronnie Hickman will be in Indianapolis on Wednesday.","26 Jul 2022
by Dan Hope
22 COMMENTS"
THREE BUCKS NAMED B1G PRESEASON HONOREES,"C.J. Stroud, Jaxon Smith-Njigba and TreVeyon Henderson were all named Big Ten East Division preseason honorees on Monday.","25 Jul 2022
by Griffin Strom
18 COMMENTS"
PRESEASON ALL-BIG TEN PICKS,Our unofficial preseason All-Big Ten team predicts who the conference’s top players at every position will be in 2022.,"25 Jul 2022
by Dan Hope
53 COMMENTS"
J.T. BARRETT HIRED BY LIONS AS COACH,The all-time leader in Big Ten yardage will begin his NFL coaching career as a member of Detroit's offensive staff.,"23 Jul 2022
by George Eisner
102 COMMENTS"
RUGGLES HAPPY TO BE BACK,Noah Ruggles said his first year at Ohio State “changed my life” and he couldn’t wait to get back to Columbus after taking the spring semester off.,"23 Jul 2022
by Dan Hope
33 COMMENTS"
SPECIAL SKILLS CAMP REWARDING FOR BUCKEYES,Ohio State football players like Jaxon Smith-Njigba and Cade Stover were among the coaches at the ninth annual Special Skills Football Invitational on Friday.,"22 Jul 2022
by Dan Hope
24 COMMENTS"
MADDEN RATINGS FOR EVERY BUCKEYE,"We compiled the ratings for every Ohio State player in Madden NFL 23, led by Nick Bosa (94), Cameron Heyward (93) and Denzel Ward (92).","22 Jul 2022
by Dan Hope
42 COMMENTS"
ROSSI HOPES TO IMPRESS NFL IN SIXTH YEAR,Mitch Rossi stayed at Ohio State for his extra year of eligibility because he believes it will give him a better chance to play in the NFL than if he had entered this year’s...,"21 Jul 2022
by Dan Hope
27 COMMENTS"
BUCKS WILL BLOW OUT NOTRE DAME,"Malik Harrison says his NFL career has been “everything I dreamed,” and he’s expecting Ohio State to blow out Notre Dame in this year's season opener.","21 Jul 2022
by Griffin Strom
63 COMMENTS"
STORYLINES ENTERING B1G MEDIA DAYS,"We discuss what we could hear at next week’s Big Ten Media Days, take stock of Ohio State’s top-ranked 2023 recruiting class and share some thoughts on alternate uniforms.","20 Jul 2022
by Dan Hope and Griffin Strom
6 COMMENTS"
MOST LIKELY CAPTAINS FOR 2022,"Kamryn Babb, Zach Harrison and Teradja Mitchell are returning captains while C.J. Stroud, Jaxon Smith-Njigba and Tommy Eichenberg are top candidates to join them.","20 Jul 2022
by Dan Hope
50 COMMENTS"
NEW FRESHMEN RECEIVE JERSEY NUMBERS,Ohio State’s summer enrollees have received their initial jersey numbers while six other Buckeyes have also changed their numbers since spring practice.,"19 Jul 2022
by Dan Hope
39 COMMENTS"
MILLER’S CAMP BRINGS LARGE BUCKEYE TURNOUT,A multitude of current and former Buckeyes were at the Woody Hayes Athletic Center on Sunday to coach approximately 225 kids at Braxton Miller’s CHARG1NG camp.,"19 Jul 2022
by Dan Hope
40 COMMENTS"
"STROUD, JSN, HICKMAN ATTENDING MEDIA DAYS","C.J. Stroud, Jaxon Smith-Njigba and Ronnie Hickman will represent Ohio State at this year’s Big Ten Media Days, which will be held next Tuesday and Wednesday (July 26-27).","18 Jul 2022
by Dan Hope
13 COMMENTS"
THREE BUCKEYES NOMINATED FOR MAXWELL AWARD,"C.J. Stroud, TreVeyon Henderson and Jaxon Smith-Njigba are all on the preseason watch list for the Maxwell Award, making Ohio State the only school with three nominees.","18 Jul 2022
by Dan Hope
17 COMMENTS"
FIRST-YEAR STARTERS TO WATCH,We project the potential first-year regular starters on both sides of the ball who could play the biggest roles for Ohio State during the 2022 season.,"18 Jul 2022
by Griffin Strom
47 COMMENTS"
"STROUD, JSN, HENDERSON, BURKE CASH IN","C.J. Stroud, Jaxon Smith-Njigba, TreVeyon Henderson and Denzel Burke are set to make some bank by way of an NIL deal brokered by The Foundation.","17 Jul 2022
by 11W Staff
57 COMMENTS"
JAMES WAITING TURN BUT READY TO CONTRIBUTE,"In line to be one of Ohio State’s top backup offensive linemen this year, Jakob James says he’s never doubted he’s in the right place as he’s waited for a chance to play.","17 Jul 2022
by Dan Hope
21 COMMENTS"
THIS WEEK IN TWITTER,"TreVeyon's Henderson's about to blow up, home football game themes are out, it's bad list season, and Chris Holtmann's squad has assembled in Columbus.","16 Jul 2022
by 11W Staff
45 COMMENTS"
CANTON MCKINLEY,"We wrap up Buckeye Pipelines with Canton McKinley, a program that has provided Ohio State with 16 talented players, including 2002 captain and national champion Mike Doss.","16 Jul 2022
by Matt Gutridge
20 COMMENTS"
"THEME ME UP, BRUTUS","Ohio State will have themed games for the 2022 season, but the current slate of events doesn't go nearly far enough.","15 Jul 2022
by Johnny Ginter
35 COMMENTS"
HALL “MAKING GREAT PROGRESS” IN YEAR TWO,"Mike Hall feels like a “different player” this offseason after redshirting his freshman year, and he wowed his Ohio State teammates with his explosiveness this spring.","15 Jul 2022
by Dan Hope
61 COMMENTS"
SECOND-YEARS KEY TO CHAMPIONSHIP HOPES,"A star-studded crop of second-year players has led Ohio State to national championships before, and the Buckeyes’ sophomore class could make a huge impact in 2022.","14 Jul 2022
by Dan Hope
41 COMMENTS"
SCARLET-OUT AGAINST IOWA,Ohio State’s themes for its October home games will include a scarlet-out against Iowa and a celebration of Ohio Stadium’s 100 years against Rutgers.,"13 Jul 2022
by Dan Hope
65 COMMENTS"
PICKING OHIO STATE’S TOP PLAYERS,Listen along as we go head-to-head to draft dueling lineups from Ohio State’s 2022 roster and determine who the Buckeyes’ most valuable players are entering the season.,"13 Jul 2022
by Dan Hope and Griffin Strom"
2022 OHIO STATE FOOTBALL TEAM DRAFT,See who we picked and vote for whose team would win in a hypothetical matchup of Buckeyes vs. Buckeyes featuring lineups drafted from Ohio State’s 2022 roster.,"13 Jul 2022
by Dan Hope and Griffin Strom
33 COMMENTS"
OSU-WISCONSIN TO BE A BLACKOUT AT THE SHOE,"OSU announced themes for its September home football games Monday, including a celebration of the 2002 national championship team during the season opener.","11 Jul 2022
by Griffin Strom
90 COMMENTS"
MASSILLON,"The history of high school and Ohio State football runs deep in Massillon. Paul Brown, Earle Bruce and Chris Spielman are among the iconic Buckeyes from the historic program.","09 Jul 2022
by Matt Gutridge
55 COMMENTS"
PAX OHIO STATE,Ohio State is untouched in the state of Ohio in a way that few other schools can be.,"08 Jul 2022
by Johnny Ginter
46 COMMENTS"
KICK IN THE DOOR,"There's nothing more American, timeless or predictable than what the B1G just pulled off with its most recent expansion efforts.","06 Jul 2022
by Ramzy Nasrallah
82 COMMENTS"
ST. VINCENT-ST. MARY,"A six-time state champion, St. Vincent-St. Mary has produced Parris Campbell, Doran Grant and 13 other Ohio State football players as well as LeBron James and Malaki Branham.","02 Jul 2022
by Matt Gutridge
26 COMMENTS"
HOW B1G EXPANSION COULD IMPACT OSU,"The Big Ten's addition of USC and UCLA gives OSU another blue-chip competitor for conference titles, more trips to the Rose Bowl and increased recruiting access in California.","02 Jul 2022
by Griffin Strom
126 COMMENTS"
"SMITH ADDRESSES B1G ADDITION OF USC, UCLA",OSU athletic director Gene Smith and president Kristina Johnson addressed the Big Ten's addition of USC and UCLA at a press conference on Friday morning.,"01 Jul 2022
by Griffin Strom
171 COMMENTS"
INHERIT THE WIND,Ohio State faces no downside to being known as the premier manufacturing facility for NFL pass-catchers.,"29 Jun 2022
by Ramzy Nasrallah
62 COMMENTS"
MCLAURIN GETS PAID,Terry McLaurin inks a three-year contract extension with Washington that is worth up to $71 million and includes a whopping $28 million signing bonus.,"28 Jun 2022
by Griffin Strom
46 COMMENTS"
FOUR BUCKS NAMED PRESEASON ALL-AMERICANS,"Jaxon Smith-Njigba, TreVeyon Henderson, Dawand Jones and Noah Ruggles are all named Walter Camp preseason All-Americans, while C.J. Stroud was notably omitted.","27 Jun 2022
by Griffin Strom
63 COMMENTS"
EASTMOOR,"Archie and Ray Griffin opened the pipeline for Eastmoor, one of Columbus' public high schools, within the Ohio State football program.","25 Jun 2022
by Matt Gutridge
26 COMMENTS"
HARTLINE'S REVENGE,"If you've only been paying attention for a few years, it might be hard to imagine a time when Ohio State wasn't exactly known as a passing team. Well...","24 Jun 2022
by Johnny Ginter
44 COMMENTS"
STOVER TO SERVE AS INDYCAR GRAND MARSHAL,Ohio State tight end Cade Stover will serve as the grand marshal for next week’s Honda Indy 200 at the Mid-Ohio Sports Car Course in his hometown of Lexington.,"23 Jun 2022
by Dan Hope
19 COMMENTS"
HELLO NASTY,"The 2022 Buckeyes check a lot of the necessary boxes for winning it all, including one that recent Ohio State teams have missed.","22 Jun 2022
by Ramzy Nasrallah
40 COMMENTS"
FRESH AIR,Quarterback C.J. Stroud no longer has receiving targets Garrett Wilson and Chris Olave but Ohio State's aerial attack should again prove lethal.,"21 Jun 2022
by Chris Lauderback
34 COMMENTS"
BUILDING UPON AN ELITE RECEIVER STANDARD,"Jaxon Smith-Njigba, Garrett Wilson and Chris Olave had the best season ever for a trio of Ohio State receivers in 2021. That could just be the beginning of “WRU” in Columbus.","21 Jun 2022
by Dan Hope
54 COMMENTS"
MIDDLETOWN,"Before he became a star at Ohio State and in the NFL, Cris Carter honed his scoring prowess at Middletown, which has produced 17 Ohio State players since 1970.","18 Jun 2022
by Matt Gutridge
20 COMMENTS"
FREEMAN CLAIMS HE WAS “MISQUOTED”,"Marcus Freeman claims he was ""misquoted,"" but also reiterates that he believes Notre Dame's academics are more rigorous due to in-person classes.","15 Jun 2022
by Kevin Harrish
223 COMMENTS"
HIGHEST APR EVER FOR OHIO STATE FOOTBALL,"Ohio State football has a multi-year Academic Progress Rate of 991, the best in program history, and was one of 16 Buckeye teams to achieve a perfect APR in 2020-21.","15 Jun 2022
by Dan Hope
43 COMMENTS"
FREEMAN TAKES SHOT AT OHIO STATE ACADEMICS,"Marcus Freeman took an apparent shot at Ohio State football's academics, saying players just ""take some online classes, show up for your appointments.""","14 Jun 2022
by Kevin Harrish
312 COMMENTS"
OSU DEFENSE MUST IMPROVE ON THIRD DOWN,Ohio State's defense was historically bad on third down a season ago. Tightening up on the pivotal down will go a long way in getting OSU back into the CFP.,"14 Jun 2022
by Chris Lauderback
58 COMMENTS"
"MILLER, DAY DISCUSS MENTAL HEALTH ON ESPN",Harry Miller credited Ryan Day and Ohio State with saving his life during a feature about mental health on ESPN’s SportsCenter on Sunday morning.,"12 Jun 2022
by Johnny Ginter
41 COMMENTS"
THIS WEEK IN TWITTER,"Ohio State is going big this weekend, pizza and yoga is on our minds, and C.J. Stroud is grinding in the offseason.","11 Jun 2022
by 11W Staff
15 COMMENTS"
ST. HENRY,"A small school in Northwest Ohio, St. Henry has produced several Buckeye greats including Jim Lachey, Bobby Hoying and Todd Boeckman.","11 Jun 2022
by Matt Gutridge
15 COMMENTS"
"VIMAHI PLAYING FOR DAD, GAINING CONFIDENCE","After the death of his father in November, Enokk Vimahi is keeping his father’s lessons in mind as he competes for a spot on Ohio State’s offensive line this offseason.","10 Jun 2022
by Dan Hope
29 COMMENTS"
CLAIM A PIECE OF OLD TURF,Ohio State announces plans to sell pieces of Ohio Stadium's old field turf following the installation of the new turf.,"10 Jun 2022
by Kevin Harrish
67 COMMENTS"
STOVER EMOTIONAL AFTER GETTING OSU OFFER,"Garrett Stover says Ohio State is “definitely at the top of my list” after earning an offer, and Matayo Uiagalelei and Oluwatosin Babalade lock in their official visits.","09 Jun 2022
by Garrick Hodge
15 COMMENTS"
SINGLE-GAME TICKETS ON SALE THIS MONTH,Ohio State’s “Pick Three” mini-plans will go on sale Tuesday while single-game football ticket sales for the 2022 season will begin for the general public on June 24.,"09 Jun 2022
by Dan Hope
15 COMMENTS"
UNDER THE BANNER OF SEVEN,"Ohio State has beaten Michigan, taken the conference crown, won the Heisman and claimed a national championship several times. But it has never done it all in the same season.","08 Jun 2022
by Ramzy Nasrallah
36 COMMENTS"
STROUD GETS LUXURY CAR DEAL,"C.J. Stroud inked a new NIL deal with a luxury car dealership that will allow him access to high-end vehicles, including the $200,000 Mercedes AMG G Wagon he took home.","08 Jun 2022
by Kevin Harrish
234 COMMENTS"
ELDER STATESMEN,"Ohio State's 2022 roster features 13 players from the 2017 and 2018 recruiting cycles combined, with most of the vets on the defensive side of the football.","07 Jun 2022
by Chris Lauderback
29 COMMENTS"
SMITH SOAKS UP KNOWLEDGE FROM JOHNSON,"A top-50 overall prospect in the 2024 class, defensive end Nigel Smith camped at Ohio State on Monday because he wanted to learn whatever he could from Larry Johnson.","07 Jun 2022
by Dan Hope
8 COMMENTS"
LAURINAITIS & WARD MAKE CFB HOF BALLOT,Ohio State football legends James Laurinaitis and Chris Ward will appear on the 2023 College Football Hall of Fame ballot.,"06 Jun 2022
by Kevin Harrish
32 COMMENTS"
OL TO BE AT “FULL STRENGTH” BY AUGUST,"Depth was not a strength of the Buckeye offensive line this spring as injuries took their toll, but Justin Frye anticipates having ""everybody back"" by August.","06 Jun 2022
by Griffin Strom
28 COMMENTS"
HENRY READY TO PROVE HE’S UNDERRATED,"After losing nearly 100 pounds over the last two years, incoming Ohio State offensive tackle Avery Henry is confident he’ll show he should have been ranked higher as a recruit.","05 Jun 2022
by Dan Hope
42 COMMENTS"
“HE’S GOT A BULL'S-EYE ON HIS CHEST“,Ryan Day doesn't want his star quarterback to rest on his laurels as C.J. Stroud enters his second season as the Buckeyes' starting quarterback.,"04 Jun 2022
by Griffin Strom
42 COMMENTS"
GLENVILLE,"Ted Ginn Sr.’s Glenville program has provided Ohio State with more players than any other high school since 1970, and no Tarblooders played for the Buckeyes until 2002.","04 Jun 2022
by Matt Gutridge
19 COMMENTS"
WOLVERINES IMITATE GOLD PANTS,"Stealing a page from Ohio State’s playbook, Michigan gave out charms to its players for winning last year’s edition of The Game.","03 Jun 2022
by 11W Staff
158 COMMENTS"
FRYE MAXING OUT POTENTIAL FOR STARTING OTS,"In what could be his only season with Paris Johnson Jr. and Dawand Jones, new offensive line coach Justin Frye is keen on maximizing both players' potential this offseason.","03 Jun 2022
by Griffin Strom
22 COMMENTS"
DENZEL BURKE TEASES NUMBER CHANGE,It looks like Denzel Burke is changing his number from No. 29 to No. 5.,"03 Jun 2022
by Kevin Harrish
25 COMMENTS"
$13 MILLION WELL SPENT,Thirteen million dollars? In this economy?,"03 Jun 2022
by Johnny Ginter
63 COMMENTS"
SAFETY DEPTH STILL “A WORK IN PROGRESS”,"Nearly a month after the spring game, Jim Knowles still wasn't ready to announce a two-deep at safety, citing “a work in progress” in the unit's depth.","02 Jun 2022
by Griffin Strom
24 COMMENTS"
MANGOLD GOING INTO JETS RING OF HONOR,"Former Ohio State center Nick Mangold, who made seven Pro Bowls in 11 seasons with the New York Jets, will be inducted into the Jets’ Ring of Honor this fall.","02 Jun 2022
by Dan Hope
24 COMMENTS"
PENN STATE WON'T WHITE OUT OHIO STATE,The Buckeyes won't be facing a White Out when they travel to Happy Valley this year.,"01 Jun 2022
by Kevin Harrish
112 COMMENTS"
THE INVISIBLE MAN,Braxton Miller's playground heave to Devin Smith is one of the most rewatchable moments in Ohio State football history.,"01 Jun 2022
by Ramzy Nasrallah
73 COMMENTS"
“IT TOOK ME 56 YEARS TO GET HERE”,"Jim Knowles has been the Buckeyes' defensive coordinator for five full months, but he's still beaming about the “first-class quality” of the Ohio State program.","01 Jun 2022
by Griffin Strom
78 COMMENTS"
CARRICO “TRYING TO FIND MY NICHE”,"After a quiet first year at Ohio State, Reid Carrico just wants to play any role for the Buckeyes this season. That role could come as a Sam linebacker in three-linebacker...","31 May 2022
by Dan Hope
44 COMMENTS"
SEEING RED,Ohio State's elite offense scored touchdowns in the red zone just 40% of the time in 2021 when facing top-40 scoring defenses.,"31 May 2022
by Chris Lauderback
72 COMMENTS"
KNOWLES FEELS GREAT ABOUT INTERIOR DL,"With a “great mix” of veterans and talented up-and-comers on the inside of Ohio State’s defensive line, Jim Knowles says “I feel great” about the group entering the...","31 May 2022
by Griffin Strom
37 COMMENTS"
EICHENBERG ON VERGE OF BREAKTHROUGH,Tommy Eichenberg’s name may have been mentioned more than any other Buckeye defender this spring.,"30 May 2022
by Griffin Strom
50 COMMENTS"
JOHNSON HUNGRY AFTER FIRST-YEAR INJURY,"Jakailin Johnson played in only one game as a freshman before he was sidelined by a shoulder injury, which drove him to work harder entering his second year at Ohio State.","30 May 2022
by Dan Hope
10 COMMENTS"
HANCOCK FOCUSED ON DAILY IMPROVEMENT,"Jordan Hancock appears likely to be Ohio State’s No. 3 cornerback this year after going through “good growing pains” as a freshman, but he doesn’t want to get complacent...","29 May 2022
by Dan Hope
10 COMMENTS"
LANCASTER,"With two national championships and a Super Bowl between them, Rex Kern, Bobby Carpenter and Jim Cordle represent Lancaster's finest Buckeyes.","28 May 2022
by Matt Gutridge
18 COMMENTS"
CURRY POSSESSES “POTENTIAL GREATNESS”,"Caden Curry hasn't even been on Ohio State’s campus for a full five months, but the Buckeye coaching staff already sees “potential greatness” in the versatile defensive end.","28 May 2022
by Griffin Strom
40 COMMENTS"
“WE’RE GONNA BE ALL OVER THIS”,Ryan Day plans to leave no stone unturned in offseason preparation for Ohio State's season-opening clash with the Fighting Irish on Sept. 3.,"27 May 2022
by Griffin Strom
118 COMMENTS"
