game_id,school,conference,homeAway,points,completionAttempts,defensiveTDs,firstDowns,fourthDownEff,fumblesLost,fumblesRecovered,interceptionTDs,interceptionYards,interceptions,kickReturnTDs,kickReturnYards,kickReturns,kickingPoints,netPassingYards,passesDeflected,passesIntercepted,passingTDs,possessionTime,puntReturnTDs,puntReturnYards,puntReturns,qbHurries,rushingAttempts,rushingTDs,rushingYards,sacks,tackles,tacklesForLoss,thirdDownEff,totalFumbles,totalPenaltiesYards,totalYards,turnovers,yardsPerPass,yardsPerRushAttempt
401413239,Eastern Washington,Big Sky,home,28,26-45,,21,1-3,0,2,0,0,1,0,110,6,2,370,,2,3,23:58,,,,,25,1,90,,,,7-16,0,8-89,460,1,8.2,3.6
401413239,Sacramento State,Big Sky,away,52,13-19,,36,1-1,1,0,1,22,2,,,,10,140,,1,3,36:02,,,,,62,3,385,,,,9-13,2,2-25,525,3,7.4,6.2
401413240,Eastern Washington,Big Sky,home,35,36-60,,29,0-2,0,1,,,1,0,42,3,5,394,,,3,20:33,,,,,24,2,170,,,,10-16,0,5-45,564,1,6.6,7.1
401413240,Portland State,Big Sky,away,38,17-23,,31,3-3,1,0,0,0,0,0,43,2,8,201,,1,1,39:27,,,,,58,4,427,,,,3-12,1,6-75,628,1,8.7,7.4
401413241,Eastern Washington,Big Sky,away,16,17-30,,9,1-3,0,0,0,0,0,0,18,1,4,242,,2,2,18:22,,,,,20,0,36,,,,0-11,,6-58,278,0,8.1,1.8
401413241,Idaho,Big Sky,home,48,17-29,,31,1-1,0,0,,,2,0,60,2,12,223,,,4,41:38,0,45,3,,52,2,308,,,,10-17,1,5-40,531,2,7.7,5.9
401413242,Eastern Washington,Big Sky,away,7,23-34,,16,1-3,0,0,0,0,0,0,116,7,1,208,,1,1,29:10,,,,,35,0,102,,,,3-16,,6-59,310,0,6.1,2.9
401413242,Montana,Big Sky,home,63,18-27,,28,3-4,0,0,,,1,0,77,1,9,267,,,3,30:50,0,35,5,,43,6,337,,,,4-10,,2-30,604,1,9.9,7.8
401413243,Eastern Washington,Big Sky,home,45,19-25,,26,0-2,0,0,1,40,2,0,101,3,9,255,,2,2,28:39,,,,,49,3,262,,,,6-12,1,6-75,517,2,10.2,5.3
401413243,Northern Colorado,Big Sky,away,21,12-25,,20,1-1,0,0,1,43,2,0,49,3,3,79,,2,2,31:21,0,-10,1,,41,0,154,,,,4-14,,5-39,233,2,3.2,3.8
401413246,Drake,Pioneer,away,14,9-21,,11,0-0,0,0,,,1,0,40,2,2,150,,,0,24:44,0,0,1,,33,2,62,,,,5-14,,1-10,212,1,7.1,1.9
401413246,Idaho,Big Sky,home,42,22-30,,22,2-2,0,0,0,0,0,,,,14,239,,1,1,35:16,0,96,5,,39,2,223,,,,3-14,,10-85,462,0,8.0,5.7
401413247,Idaho,Big Sky,away,27,19-21,,24,2-2,0,0,0,0,0,,,,9,214,,1,1,41:28,0,28,1,,48,2,185,,,,3-11,,8-65,399,0,10.2,3.9
401413247,Northern Arizona,Big Sky,home,10,15-34,,15,2-3,0,0,,,1,0,47,2,4,127,,,1,18:32,,,,,22,0,57,,,,7-15,1,2-15,184,1,3.7,2.6
401413248,Idaho,Big Sky,home,55,22-27,,30,0-0,0,0,0,17,0,0,20,1,13,298,,2,4,34:55,,,,,39,3,262,,,,8-10,1,4-47,560,0,11.0,6.7
401413248,Northern Colorado,Big Sky,away,35,19-29,,25,0-0,0,0,,,2,0,27,1,3,301,,,3,25:05,,,,,29,2,97,,,,5-9,,6-32,398,2,10.4,3.3
401413249,Idaho,Big Sky,away,30,22-28,,20,1-1,0,0,0,48,1,0,0,2,8,292,,2,2,42:08,0,11,2,,44,1,52,,,,8-18,,4-25,344,1,10.4,1.2
401413249,Montana,Big Sky,home,23,20-38,,14,0-1,0,0,0,42,2,0,62,2,5,186,,1,2,17:52,0,41,2,,18,1,34,,,,4-11,2,3-30,220,2,4.9,1.9
401413250,Idaho,Big Sky,home,56,11-20,,21,1-1,1,0,0,37,0,,,,8,262,,3,5,29:43,0,0,1,,40,3,309,,,,2-8,2,3-40,571,1,13.1,7.7
401413250,Portland State,Big Sky,away,21,12-25,,17,0-0,0,1,,,3,0,34,2,3,205,,,1,30:17,0,1,1,,40,2,128,,,,5-13,0,4-35,333,3,8.2,3.2
401413251,Idaho,Big Sky,away,28,18-34,,25,1-4,1,0,0,0,0,0,55,2,4,207,,2,3,31:05,,,,,34,1,144,,,,9-16,1,4-50,351,1,6.1,4.2
401413251,Sacramento State,Big Sky,home,31,8-19,,23,1-2,0,1,,,2,0,37,2,7,92,,,2,28:55,0,5,2,,53,2,299,,,,11-15,0,3-45,391,2,4.8,5.6
401413252,Idaho,Big Sky,home,26,28-42,,27,2-5,0,0,,,0,0,30,3,2,345,,,2,29:33,,,,,32,2,118,,,,5-13,,8-90,463,0,8.2,3.7
401413252,UC Davis,Big Sky,away,44,16-19,,25,1-1,0,0,,,0,0,22,2,14,206,,,0,30:27,,,,,50,5,250,,,,6-11,,5-45,456,0,10.8,5.0
401413253,Idaho,Big Sky,away,38,18-29,,22,0-2,0,1,1,56,1,0,48,1,8,255,,3,1,34:56,,,,,37,3,212,,,,9-14,0,10-76,467,1,8.8,5.7
401413253,Idaho State,Big Sky,home,7,8-21,,14,2-4,1,0,0,22,3,0,50,2,1,121,,1,1,25:04,,,,,37,0,190,,,,5-13,2,3-25,311,4,5.8,5.1
401413256,Idaho State,Big Sky,away,21,14-27,0,13,4-4,0,0,,,1,,,,3,191,0,,2,29:36,,,,0,40,1,50,1,5,1,5-17,,4-27,241,1,7.1,1.3
